Date	Close	Shares Traded	Turnover (Rs. Cr)	Policy Repo Rate	fed funds rate
24-Dec-21	17003.75	182564833	15435.01	4	0.25
27-Dec-21	17086.25	144777457	12567.03	4	0.25
28-Dec-21	17233.25	176026100	14553.76	4	0.25
29-Dec-21	17213.6	161679423	14320.79	4	0.25
30-Dec-21	17203.95	320831676	21929.19	4	0.25
31-Dec-21	17354.05	167025720	14588.54	4	0.25
3-Jan-22	17625.7	200456430	16181.36	4	0.25
4-Jan-22	17805.25	247437472	18604.16	4	0.25
5-Jan-22	17925.25	251460038	23737.31	4	0.25
6-Jan-22	17745.9	236454824	22643.82	4	0.25
7-Jan-22	17812.7	239338015	21447.89	4	0.25
10-Jan-22	18003.3	232418075	20853.64	4	0.25
11-Jan-22	18055.75	220238796	20781.46	4	0.25
12-Jan-22	18212.35	244974287	22298.69	4	0.25
13-Jan-22	18257.8	303700545	28670.93	4	0.25
14-Jan-22	18255.75	229451608	21024.51	4	0.25
17-Jan-22	18308.1	266702919	23859.38	4	0.25
18-Jan-22	18113.05	227507319	20852.67	4	0.25
19-Jan-22	17938.4	276662654	25310.19	4	0.25
20-Jan-22	17757	258094246	25863.29	4	0.25
21-Jan-22	17617.15	277645373	25941.64	4	0.25
24-Jan-22	17149.1	323847388	28387.73	4	0.25
25-Jan-22	17277.95	326515896	31344.46	4	0.25
27-Jan-22	17110.15	395596577	36296.64	4	0.25
28-Jan-22	17101.95	355284285	29799.89	4	0.25
31-Jan-22	17339.85	321660346	25474.13	4	0.25
1-Feb-22	17576.85	386391485	30033.66	4	0.25
2-Feb-22	17780	271205907	23611.59	4	0.25
3-Feb-22	17560.2	226614989	20373.06	4	0.25
4-Feb-22	17516.3	261434170	20651.85	4	0.25
7-Feb-22	17213.6	265037933	21925.11	4	0.25
8-Feb-22	17266.75	268526210	23846.16	4	0.25
9-Feb-22	17463.8	236350514	19327.67	4	0.25
10-Feb-22	17605.85	273606440	22210.93	4	0.25
11-Feb-22	17374.75	253141660	23230.82	4	0.25
14-Feb-22	16842.8	305510740	24976.16	4	0.25
15-Feb-22	17352.45	298658142	24765.67	4	0.25
16-Feb-22	17322.2	244549223	21128.38	4	0.25
17-Feb-22	17304.6	232136131	19381.26	4	0.25
18-Feb-22	17276.3	189620888	16126.96	4	0.25
21-Feb-22	17206.65	215183301	18725.57	4	0.25
22-Feb-22	17092.2	300131995	24040.84	4	0.25
23-Feb-22	17063.25	200229631	17662.47	4	0.25
24-Feb-22	16247.95	457967874	36650.83	4	0.25
25-Feb-22	16658.4	329780732	25743.77	4	0.25
28-Feb-22	16793.9	404214666	33831.57	4	0.25
2-Mar-22	16605.95	517723542	39407.44	4	0.25
3-Mar-22	16498.05	442068263	31413	4	0.25
4-Mar-22	16245.35	456143040	34821.1	4	0.25
7-Mar-22	15863.15	585403660	38038.75	4	0.25
8-Mar-22	16013.45	543600673	38704.4	4	0.25
9-Mar-22	16345.35	462231428	35329.34	4	0.25
10-Mar-22	16594.9	486445481	35513.73	4	0.25
11-Mar-22	16630.45	343717045	24720.34	4	0.25
14-Mar-22	16871.3	314669685	23824.02	4	0.25
15-Mar-22	16663	381631902	29731.09	4	0.25
16-Mar-22	16975.35	259973396	21361.32	4	0.25
17-Mar-22	17287.05	448335248	35367.28	4	0.5
21-Mar-22	17117.6	285451208	22886.39	4	0.5
22-Mar-22	17315.5	338263468	27347.6	4	0.5
23-Mar-22	17245.65	292120348	24705.28	4	0.5
24-Mar-22	17222.75	290280124	25011.72	4	0.5
25-Mar-22	17153	237115741	20031.39	4	0.5
28-Mar-22	17222	253240837	19976.26	4	0.5
29-Mar-22	17325.3	235149625	20305.78	4	0.5
30-Mar-22	17498.25	505031841	28907.47	4	0.5
31-Mar-22	17464.75	281111679	24032.07	4	0.5
1-Apr-22	17670.45	291773447	21132.13	4	0.5
4-Apr-22	18053.4	345526502	38623.94	4	0.5
5-Apr-22	17957.4	283453612	25096.7	4	0.5
6-Apr-22	17807.65	328824420	24252.48	4	0.5
7-Apr-22	17639.55	308840215	26236.91	4	0.5
8-Apr-22	17784.35	274447433	25608.1	4	0.5
11-Apr-22	17674.95	251701846	21001.58	4	0.5
12-Apr-22	17530.3	266029060	23958.77	4	0.5
13-Apr-22	17475.65	245061941	20229.83	4	0.5
18-Apr-22	17173.65	376130248	30154.62	4	0.5
19-Apr-22	16958.65	401399563	35467.13	4	0.5
20-Apr-22	17136.55	286069736	25972.15	4	0.5
21-Apr-22	17392.6	285200022	24999.9	4	0.5
22-Apr-22	17171.95	262739740	23371.7	4	0.5
25-Apr-22	16953.95	275685925	22699.65	4	0.5
26-Apr-22	17200.8	261065753	22079.92	4	0.5
27-Apr-22	17038.4	265140480	25373.8	4	0.5
28-Apr-22	17245.05	312914417	28488.87	4	0.5
29-Apr-22	17102.55	336243642	29582.86	4	0.5
2-May-22	17069.1	278155513	21222.64	4	0.5
